City,Lat,Long,country,iso2,State
Abohar,30.144533,74.19552,India,IN,punjab
Adilabad,19.4,78.31,India,IN,telangana
Agartala,23.836049,91.279386,India,IN,tripura
Agra,27.187935,78.003944,India,IN,uttar pradesh
Ahmadnagar,19.094571,74.738432,India,IN,maharashtra
Ahmedabad,23.025793,72.587265,India,IN,gujarat
Aizawl  ,23.736701,92.714596,India,IN,mizoram
Ajmer,26.452103,74.638667,India,IN,rajasthan
Akola,20.709569,76.998103,India,IN,maharashtra
Alappuzha,9.494647,76.331108,India,IN,kerala
Aligarh,27.881453,78.07464,India,IN,uttar pradesh
Alipurduar,26.4835,89.522855,India,IN,west bengal
Allahabad,25.44478,81.843217,India,IN,uttar pradesh
Alwar,27.566291,76.610202,India,IN,rajasthan
Ambala,30.360993,76.797819,India,IN,haryana
Amaravati,20.933272,77.75152,India,IN,maharashtra
Amritsar,31.622337,74.875335,India,IN,punjab
Asansol,23.683333,86.983333,India,IN,west bengal
Aurangabad,19.880943,75.346739,India,IN,maharashtra
Aurangabad,24.752037,84.374202,India,IN,bihar
Bakshpur,25.894283,80.792104,India,IN,uttar pradesh
Bamanpuri,28.804495,79.040305,India,IN,uttar pradesh
Baramula,34.209004,74.342853,India,IN,jammu and kashmir
Barddhaman,23.255716,87.856906,India,IN,west bengal
Bareilly,28.347023,79.421934,India,IN,uttar pradesh
Belgaum,15.862643,74.508534,India,IN,karnataka
Bellary,15.142049,76.92398,India,IN,karnataka
Bengaluru,12.977063,77.587106,India,IN,karnataka
Bhagalpur,25.244462,86.971832,India,IN,bihar
Bharatpur,27.215251,77.492786,India,IN,rajasthan
Bharauri,27.598203,81.694709,India,IN,uttar pradesh
Bhatpara,22.866431,88.401129,India,IN,west bengal
Bhavnagar,21.774455,72.152496,India,IN,gujarat
Bhilai,21.209188,81.428497,India,IN,chhattisgarh
Bhilwara,25.347071,74.640812,India,IN,rajasthan
Bhiwandi,19.300229,73.058813,India,IN,maharashtra
Bhiwani,28.793044,76.13968,India,IN,haryana
Bhopal ,23.254688,77.402892,India,IN,madhya pradesh
Bhubaneshwar,20.272411,85.833853,India,IN,odisha
Bhuj,23.253972,69.669281,India,IN,gujarat
Bhusaval,21.043649,75.785058,India,IN,maharashtra
Bidar,17.913309,77.530105,India,IN,karnataka
Bijapur,16.827715,75.718988,India,IN,karnataka
Bikaner,28.017623,73.314955,India,IN,rajasthan
Bilaspur,22.080046,82.155431,India,IN,chhattisgarh
Brahmapur,19.311514,84.792903,India,IN,odisha
Budaun,28.038114,79.126677,India,IN,uttar pradesh
Bulandshahr,28.403922,77.857731,India,IN,uttar pradesh
Calicut,11.248016,75.780402,India,IN,kerala
Chanda,19.950758,79.295229,India,IN,maharashtra
Chandigarh ,30.736292,76.788398,India,IN,chandigarh
Chennai,13.084622,80.248357,India,IN,tamil nadu
Chikka Mandya,12.545602,76.895078,India,IN,karnataka
Chirala,15.823849,80.352187,India,IN,andhra pradesh
Coimbatore,11.005547,76.966122,India,IN,tamil nadu
Cuddalore,11.746289,79.764362,India,IN,tamil nadu
Cuttack,20.522922,85.78813,India,IN,odisha
Daman,20.414315,72.83236,India,IN,daman and diu
Davangere,14.469237,75.92375,India,IN,karnataka
DehraDun,30.324427,78.033922,India,IN,uttarakhand
Delhi,28.651952,77.231495,India,IN,delhi
Dhanbad,23.801988,86.443244,India,IN,jharkhand
Dibrugarh,27.479888,94.90837,India,IN,assam
Dindigul,10.362853,77.975827,India,IN,tamil nadu
Dispur,26.135638,91.800688,India,IN,assam
Diu,20.715115,70.987952,India,IN,daman and diu
Faridabad,28.411236,77.313162,India,IN,haryana
Firozabad,27.150917,78.397808,India,IN,uttar pradesh
Fyzabad,26.775486,82.150182,India,IN,uttar pradesh
Gangtok,27.325739,88.612155,India,IN,sikkim
Gaya,24.796858,85.003852,India,IN,bihar
Ghandinagar,23.216667,72.683333,India,IN,gujarat
Ghaziabad,28.665353,77.439148,India,IN,uttar pradesh
Gopalpur,26.735389,83.38064,India,IN,uttar pradesh
Gulbarga,17.335827,76.83757,India,IN,karnataka
Guntur,16.299737,80.457293,India,IN,andhra pradesh
Gurugram,28.460105,77.026352,India,IN,haryana
Guwahati,26.176076,91.762932,India,IN,assam
Gwalior,26.229825,78.173369,India,IN,madhya pradesh
Haldia,22.025278,88.058333,India,IN,west bengal
Haora,22.576882,88.318566,India,IN,west bengal
Hapur,28.729845,77.780681,India,IN,uttar pradesh
Haripur,31.463218,75.986418,India,IN,punjab
Hata,27.592698,78.013843,India,IN,uttar pradesh
Hindupur,13.828065,77.491425,India,IN,andhra pradesh
Hisar,29.153938,75.722944,India,IN,haryana
Hospet,15.269537,76.387103,India,IN,karnataka
Hubli,15.349955,75.138619,India,IN,karnataka
Hyderabad,17.384052,78.456355,India,IN,telangana
Imphal,24.808053,93.944203,India,IN,manipur
Indore,22.717736,75.85859,India,IN,madhya pradesh
Itanagar,27.102349,93.692047,India,IN,arunachal pradesh
Jabalpur,23.174495,79.935903,India,IN,madhya pradesh
Jaipur,26.913312,75.787872,India,IN,rajasthan
Jammu,32.735686,74.869112,India,IN,jammu and kashmir
Jamshedpur,22.802776,86.185448,India,IN,jharkhand
Jhansi,25.458872,78.579943,India,IN,uttar pradesh
Jodhpur,26.26841,73.005943,India,IN,rajasthan
Jorhat,26.757509,94.203055,India,IN,assam
Kagaznagar,19.331589,79.466051,India,IN,andhra pradesh
Kakinada,16.960361,82.238086,India,IN,andhra pradesh
Kalyan,19.243703,73.135537,India,IN,maharashtra
Karimnagar,18.436738,79.13222,India,IN,telangana
Karnal,29.691971,76.984483,India,IN,haryana
Karur,10.960277,78.076753,India,IN,tamil nadu
Kavaratti,10.566667,72.616667,India,IN,lakshadweep
